Table,Field,Type,Description
BoxModels,FCUntreated_MPN_100ml,Int32 (min=0) (max=10000000),Concentration de coliform fécaux des eaux usées non traité (NPP / 100 mL)
BoxModels,FCPreDisinfection_MPN_100ml,Int32 (min=0) (max=10000000),Concentration de coliform fécaux des eaux usées pré-désinfecté (NPP / 100 mL)
BoxModels,Concentration_MPN_100ml,Int32 (min=0) (max=10000000),Objectif de concentration de coliform fécaux apres dilution (NPP / 100 mL)
BoxModels,T90_hour,Double (min=0),Temps (heure) requis pour que 90% des colonies de coliformes fécaux meurent
BoxModels,DischargeDuration_hour,Double (min=0) (max=24),Durée de l'écoulement (heure/jour)
BoxModels,LastUpdateDate_UTC,DateTime,Contient la date de la dernière mise à jour en (UTC)
BoxModels,LastUpdateContactTVItemID,Int32,Contact TVItemID qui a fait le dernier changement
BoxModelLanguages,,,La table BoxModelLanguages contient des champs pour contenir des textes bilingues pour la table BoxModels.
BoxModelLanguages,BoxModelLanguageID,Int32 (key),Contient l'identifiant unique sur chaque ligne de la table BoxModelLanguages
BoxModelLanguages,DBCommand,DBCommandEnum (int),Identifie la command de base de données pour syncroniser avec la base de données local
BoxModelLanguages,BoxModelID,Int32,Lien au parent BoxModel à l'item de la table BoxModels
BoxModelLanguages,Language,LanguageEnum (int),Langage de l'item
BoxModelLanguages,ScenarioName,String (max=250),Nom du scénario de box model
BoxModelLanguages,TranslationStatus,TranslationStatusEnum (int),Le statut de la traduction du nom du scénario
BoxModelLanguages,LastUpdateDate_UTC,DateTime,Contient la date de la dernière mise à jour en (UTC)
BoxModelLanguages,LastUpdateContactTVItemID,Int32,Contact TVItemID qui a fait le dernier changement
BoxModelResults,,,Le BoxModelResults contient des champs pour contenir les résultats des scénarios de modélisation de boîtes.
BoxModelResults,BoxModelResultID,Int32 (key),Contient l'identifiant unique sur chaque ligne de la table BoxModelResults
BoxModelResults,DBCommand,DBCommandEnum (int),Identifie la command de base de données pour syncroniser avec la base de données local
BoxModelResults,BoxModelID,Int32,Lien au parent BoxModel à l'item de la table BoxModels
BoxModelResults,BoxModelResultType,BoxModelResultTypeEnum (int),Type de résultats
BoxModelResults,Volume_m3,Double (min=0),Volume (m3) d'eau de l'estuaire nécessaire pour obtenir la concentration de coliform fécaux attendue
BoxModelResults,Surface_m2,Double (min=0),Surface (m2) d'eau de l'estuaire nécessaire pour obtenir la concentration de coliform fécaux attendue
BoxModelResults,Radius_m,Double (min=0) (max=100000),Rayon d'un demi cercle (m) d'eau de l'estuaire nécessaire pour obtenir la concentration de coliform fécaux attendue
BoxModelResults,LeftSideDiameterLineAngle_deg,Double (min=0) (max=360),Angle de ligne du diamètre du côté gauche (deg) utilisé pour dessiner un demi-cercle sur une carte
BoxModelResults,CircleCenterLatitude,Double (min=-90) (max=90),Latitude du centre du cercle (deg) utilisé pour dessiner un demi-cercle sur une carte
BoxModelResults,CircleCenterLongitude,Double (min=-180) (max=180),Longitude du centre du cercle (deg) utilisé pour dessiner un demi-cercle sur une carte
BoxModelResults,FixLength,Boolean,La longueur fixe est utilisée pour indiquer que la longueur du rectangle doit être fixée sur une certaine longueur. Seule la largeur du rectangle sera redimensionnée afin de trouver la taille du rectangle pour obtenir la concentration de coliform fécaux attendue
BoxModelResults,FixWidth,Boolean,La largeur fixe est utilisée pour indiquer que la largeur du rectangle doit être fixée sur une certaine largeur. Seule la longueur du rectangle sera redimensionnée afin de trouver la taille du rectangle pour obtenir la concentration de coliform fécaux attendue
BoxModelResults,RectLength_m,Double (min=0) (max=100000),Longueur du rectangle (m) d'eau de l'estuaire nécessaire pour obtenir la concentration de coliform fécaux attendue
BoxModelResults,RectWidth_m,Double (min=0) (max=100000),Largeur du rectangle (m) d'eau de l'estuaire nécessaire pour obtenir la concentration de coliform fécaux attendue
BoxModelResults,LeftSideLineAngle_deg,Double (min=0) (max=360),Angle de ligne du côté gauche du rectangle (deg) utilisé pour dessiner un rectangle sur une carte
BoxModelResults,LeftSideLineStartLatitude,Double (min=-90) (max=90),Latitude de départ de la ligne latérale gauche (deg) utilisé pour dessiner un demi-cercle sur une carte
BoxModelResults,LeftSideLineStartLongitude,Double (min=-180) (max=180),Longitude de départ de la ligne latérale gauche (deg) utilisé pour dessiner un demi-cercle sur une carte
BoxModelResults,LastUpdateDate_UTC,DateTime,Contient la date de la dernière mise à jour en (UTC)
BoxModelResults,LastUpdateContactTVItemID,Int32,Contact TVItemID qui a fait le dernier changement
Classifications,,,La table Classifications contient des champs permettant de conserver la classification pour la visualisation sur le Web. Il ne contient qu'une représentation de la classification juridique réelle détenue dans Arc GIS.
Classifications,ClassificationID,Int32 (key),Contient l'identifiant unique sur chaque ligne de la table Classification
Classifications,DBCommand,DBCommandEnum (int),Identifie la command de base de données pour syncroniser avec la base de données local
Classifications,ClassificationTVItemID,Int32,Lien à la table TVItems avec l'identifiant unique
Classifications,ClassificationType,ClassificationTypeEnum (int),Type de classification
Classifications,Ordinal,Int32 (min=0) (max=10000),Numéro indiquent l'ordre des classification
Classifications,LastUpdateDate_UTC,DateTime,Contient la date de la dernière mise à jour en (UTC)
Classifications,LastUpdateContactTVItemID,Int32,Contact TVItemID qui a fait le dernier changement
ClimateDataValues,,,La table ClimateDataValues contient des champs permettant de conserver les valeurs des données climatiques pour divers sites climatiques du Service météorologique du Canada.
ClimateDataValues,ClimateDataValueID,Int32 (key),Contient l'identifiant unique sur chaque ligne de la table ClimateDataValues
ClimateDataValues,DBCommand,DBCommandEnum (int),Identifie la command de base de données pour syncroniser avec la base de données local
ClimateDataValues,ClimateSiteID,Int32,Lien au parent ClimateSite à l'item de la table ClimateSites
ClimateDataValues,DateTime_Local,DateTime,Date et temps de l'observation. Pratiquement tous les données proviennent de site web weather office
ClimateDataValues,Keep,Boolean,Conservez les données dans la base de données. Parfois, la base de données peut obtenir des données du site Web du bureau météorologique en tant que données temporaires pouvant être supprimées ultérieurement.
ClimateDataValues,StorageDataType,StorageDataTypeEnum (int),Type de données sauvegardez peut être archivés, prévisions ou observés
ClimateDataValues,HasBeenRead,Boolean,Les données stockées ont été lues sur le site Web du bureau météorologique
ClimateDataValues,Snow_cm,Double (min=0) (max=10000),Neige totale (cm) --- quantité totale de neige ou totalité des précipitations gelées (solides) telles que la neige et les granules de glace, observée à un endroit donné au cours d'un intervalle de temps déterminé et exprimée en centimètres (cm).
ClimateDataValues,Rainfall_mm,Double (min=0) (max=10000),Pluie totale (mm) --- quantité totale de pluie ou totalité des précipitations liquides en millimètres (mm) telles que la pluie, la bruine, la pluie verglaçante et la grêle, observée à un endroit donné au cours d'un intervalle de temps déterminé.
ClimateDataValues,RainfallEntered_mm,Double (min=0) (max=10000),Pluie totale entré (mm) par un des biologiste --- quantité totale de pluie ou totalité des précipitations liquides en millimètres (mm) telles que la pluie, la bruine, la pluie verglaçante et la grêle, observée à un endroit donné au cours d'un intervalle de temps déterminé.
ClimateDataValues,TotalPrecip_mm_cm,Double (min=0) (max=10000),Précipitations totales (mm) --- somme de la pluie totale et de l'équivalent en eau de la neige totale en millimètres (mm), observée à un endroit donné au cours d'un intervalle de temps déterminé.
ClimateDataValues,MaxTemp_C,Double (min=-50) (max=50),Température maximale (deg C) --- température la plus élevée, en degrés Celsius (°C), observée à un endroit donné au cours d'un intervalle de temps déterminé.
ClimateDataValues,MinTemp_C,Double (min=-50) (max=50),Température minimale (deg C) --- température la plus basse, en degrés Celsius (°C), observée à un endroit donné au cours d'un intervalle de temps déterminé.
ClimateDataValues,HeatDegDays_C,Double (min=-1000) (max=100),On compte un degré-jour de chauffage pour chaque degré dont la température moyenne quotidienne est inférieure à 18 °C. Si la température est égale ou supérieure à 18 °C, le nombre de degrés-jours sera zéro. Par exemple, une journée ayant une température moyenne de 15,5 °C aura 2,5 degrés-jours de chauffage; une journée ayant une température moyenne de 20,5 °C aura zéro degré-jour de chauffage. Les degrés-jours de chauffage sont utilisés principalement pour estimer les besoins de chauffage des bâtiments.
ClimateDataValues,CoolDegDays_C,Double (min=-1000) (max=100),On compte un degré-jour de refroidissement pour chaque degré dont la température moyenne quotidienne est supérieure à 18 °C . Si la température est égale ou inférieure à 18 °C , le nombre de degrés-jours sera zéro. Par exemple, une journée ayant une température moyenne de 20,5 °C aura 2,5 degrés-jours de refroidissement; une journée ayant une température moyenne de 15,5 °C aura zéro degré-jour de refroidissement. Les degrés-jours de refroidissement sont utilisés principalement pour estimer les besoins de climatisation des bâtiments.
ClimateDataValues,SnowOnGround_cm,Double (min=0) (max=10000),Neige au sol (cm)--- épaisseur (en cm) de la neige sur le sol. On détermine, en centimètres entiers, l'épaisseur totale de neige au sol au moment de l'observation en prenant une série de mesures et en en faisant la moyenne.
ClimateDataValues,DirMaxGust_0North,Double (min=0) (max=360),Direction de la rafale maximale (10's deg/dizaines de degrés) --- direction (vraie ou géographique, et non magnétique) d'où souffle le vent pendant la rafale maximale. Exprimée en dizaines de degrés, 9 signifiant 90 degrés vrais ou un vent d'est, et 36 signifiant 360 degrés vrais, ou un vent soufflant du pôle Nord géographique. Cette valeur n'est signalée que si la vitesse de la rafale maximale dépasse 29 km/h.
ClimateDataValues,SpdMaxGust_kmh,Double (min=0) (max=300),Vitesse de la rafale maximale (km/h) --- vitesse en kilomètres à l'heure (km/h) de la rafale maximale pendant le jour donné. La rafale est la lecture instantanée ou simple du maximum ou de la crête de l'anémomètre (l'instrument utilisé pour observer la vitesse du vent) pendant le jour donné. La durée d'une rafale correspond typiquement à un temps écoulé de 3 à 5 secondes.
ClimateDataValues,HourlyValues,String,Texte des valeurs horaire sauvegarde toutes les 24 valeurs horaires des paramètres mesurés par weather office
ClimateDataValues,LastUpdateDate_UTC,DateTime,Contient la date de la dernière mise à jour en (UTC)
ClimateDataValues,LastUpdateContactTVItemID,Int32,Contact TVItemID qui a fait le dernier changement
ClimateSites,,,La table ClimateSites contient des champs permettant de conserver les informations relatives aux sites climatiques du Service météorologique du Canada ainsi que de certains sites climatiques provinciaux.
ClimateSites,ClimateSiteID,Int32 (key),Contient l'identifiant unique sur chaque ligne de la table ClimateSites
ClimateSites,DBCommand,DBCommandEnum (int),Identifie la command de base de données pour syncroniser avec la base de données local
ClimateSites,ClimateSiteTVItemID,Int32,Lien à la table TVItems avec l'identifiant unique
ClimateSites,ECDBID,Int32 (min=1) (max=100000),ECDBID --- Site Web du bureau météorologique d'Environnement Canada identifiant le site de site climatatique
ClimateSites,ClimateSiteName,String (max=100),Nom du site climatique est un nom unique pour le site donné par Environnement Canada
ClimateSites,Province,String (max=4),Province identifiée par les initiales de deux lettres
ClimateSites,Elevation_m,Double (min=0) (max=10000),Élévation (m) est l'élévation au dessus du niveau moyen de la mer
ClimateSites,ClimateID,String (max=10),Identifiant du site climatique est unique pour le site climatique pour Environnemement Canada
ClimateSites,WMOID,Int32 (min=1) (max=100000),WMOID est un identifiant unique pour le site climatique pour World Meteorological Office
ClimateSites,TCID,String (max=3),TCID est l'identificateur attribué par Transports Canada pour identifier les rapports météorologiques provenant des stations localisées aux aéroports et sont transmis en temps réel dans des formats d'aviation.
ClimateSites,IsQuebecSite,Boolean,Site climatique du Québec
ClimateSites,IsCoCoRaHS,Boolean,Site climatique de CoCoRaHS
ClimateSites,TimeOffset_hour,Double (min=-10) (max=0),Décalage du fuseau horaire (heure)
ClimateSites,File_desc,String (max=50),Description de filière --- champ temporaire utilisé lors du téléchargement des données du site Web du bureau météorologique d'Environnement Canada
ClimateSites,HourlyStartDate_Local,DateTime,Date de départ des données horaires contiendra null si le site climatique n'a pas de données horaires ou la date de départ des données horaires
ClimateSites,HourlyEndDate_Local,DateTime,Date de fin des données horaires contiendra null si le site climatique n'a pas de données horaires ou la date de fin des données horaires
ClimateSites,HourlyNow,Boolean,Horaire maintenant indique s'il y a des données horaires maintenant
ClimateSites,DailyStartDate_Local,DateTime,Date de départ des données journalières contiendra null si le site climatique n'a pas de données journalières ou la date de départ des données journalières
ClimateSites,DailyEndDate_Local,DateTime,Date de fin des données journalières contiendra null si le site climatique n'a pas de données journalières ou la date de fin des données journalières
ClimateSites,DailyNow,Boolean,Journalier maintenant indique s'il y a des données journalières maintenant
ClimateSites,MonthlyStartDate_Local,DateTime,Date de départ des données mensuelles contiendra null si le site climatique n'a pas de données mensuelles ou la date de départ des données mensuelles
ClimateSites,MonthlyEndDate_Local,DateTime,Date de fin des données mensuelles contiendra null si le site climatique n'a pas de données mensuelles ou la date de fin des données mensuelles
ClimateSites,MonthlyNow,Boolean,Mensuel maintenant indique s'il y a des données mensuelles maintenant
ClimateSites,LastUpdateDate_UTC,DateTime,Contient la date de la dernière mise à jour en (UTC)
ClimateSites,LastUpdateContactTVItemID,Int32,Contact TVItemID qui a fait le dernier changement
CoCoRaHSSites,,,La table CoCoRaHSSites contient des champs permettant de conserver les sites de précipitations gérés volontairement par des particuliers.
CoCoRaHSSites,CoCoRaHSSiteID,Int32 (key),Contient l'identifiant unique sur chaque ligne de la table CoCoRaHSSites
CoCoRaHSSites,DBCommand,DBCommandEnum (int),Identifie la command de base de données pour syncroniser avec la base de données local
CoCoRaHSSites,StationNumber,String (max=100),Numéro du site CoCoRaHS
CoCoRaHSSites,StationName,String (max=100),Nom de station CoCoRaHS
CoCoRaHSSites,Latitude,Double (min=-90) (max=90),Latitude
CoCoRaHSSites,Longitude,Double (min=-180) (max=180),Longitude
CoCoRaHSSites,LastUpdateDate_UTC,DateTime,Contient la date de la dernière mise à jour en (UTC)
CoCoRaHSSites,LastUpdateContactTVItemID,Int32,Contact TVItemID qui a fait le dernier changement
CoCoRaHSValues,,,La table CoCoRaHSValues contient des champs permettant de conserver les valeurs de précipitations provenant de sites privés volontaires.
CoCoRaHSValues,CoCoRaHSValueID,Int32 (key),Contains the unique identifier on each row of the CoCoRaHSValues table
CoCoRaHSValues,DBCommand,DBCommandEnum (int),Identifie la command de base de données pour syncroniser avec la base de données local
CoCoRaHSValues,CoCoRaHSSiteID,Int32,Lien à la table CoCoRaHSSite représentant le site CoCoRaHS
CoCoRaHSValues,ObservationDateAndTime,DateTime,Date et temps d'observation
CoCoRaHSValues,TotalPrecipAmt,Double (min=0) (max=10000),Precipitation total en mm
CoCoRaHSValues,NewSnowDepth,Double (min=0) (max=10000),Profondeur de la nouvelle neige
CoCoRaHSValues,NewSnowSWE,Double (min=0) (max=10000),Nouvelle neige SWE in cm
CoCoRaHSValues,TotalSnowDepth,Double (min=0) (max=10000),Profondeur total de neige in cm
CoCoRaHSValues,TotalSnowSWE,Double (min=0) (max=10000),Neige total SWE
CoCoRaHSValues,LastUpdateDate_UTC,DateTime,Contient la date de la dernière mise à jour en (UTC)
CoCoRaHSValues,LastUpdateContactTVItemID,Int32,Contact TVItemID qui a fait le dernier changement
Contacts,,,La table Contacts contient des champs pour stocker les informations des utilisateurs.
Contacts,ContactID,Int32 (key),Contient l'identifiant unique sur chaque ligne de la table Contacts
Contacts,DBCommand,DBCommandEnum (int),Identifie la command de base de données pour syncroniser avec la base de données local
Contacts,Id,String (max=450),Contient l'identifiant unique sur chaque ligne de la table AspNetUsers
Contacts,ContactTVItemID,Int32,Lien à la table TVItems avec l'identifiant unique
Contacts,LoginEmail,String (min=6) (max=255),Courriel de connexion pour le site web
Contacts,FirstName,String (max=100),Prénom
Contacts,LastName,String (max=100),Nom
Contacts,Initial,String (max=50),Initiale
Contacts,CellNumber,String (max=50),Numéro du cellulaire
Contacts,CellNumberConfirmed,Boolean,Numéro du cellulaire confirmé
Contacts,WebName,String (max=100),Nom Web
Contacts,ContactTitle,ContactTitleEnum (int),Titre
Contacts,IsAdmin,Boolean,Administrateur
Contacts,EmailValidated,Boolean,Courriel validé
Contacts,Disabled,Boolean,Déactivé
Contacts,IsNew,Boolean,Est nouveau
Contacts,SamplingPlanner_ProvincesTVItemID,String (max=200),Planificateur d'échantillonnage pour les provinces
Contacts,PasswordHash,String (max=255),Mot de pass hash
Contacts,Token,String (max=255),Javascript Web Token (fr)
Contacts,HasInternetConnection,Boolean,A connection internet
Contacts,IsLoggedIn,Boolean,Est connecté
Contacts,GoogleMapKeyHash,String (max=255),Clef Google Map hash
Contacts,AccessFailedCount,Int32 (min=0) (max=10),Nombre d'accès failli
Contacts,LastUpdateDate_UTC,DateTime,Contient la date de la dernière mise à jour en (UTC)
Contacts,LastUpdateContactTVItemID,Int32,Contact TVItemID qui a fait le dernier changement
ContactPreferences,,,La table ContactPreferences contient des champs permettant de gérer les préférences des utilisateurs lors de l'utilisation de certaines applications.
ContactPreferences,ContactPreferenceID,Int32 (key),Contient l'identifiant unique sur chaque ligne de la table ContactPreferences
ContactPreferences,DBCommand,DBCommandEnum (int),Identifie la command de base de données pour syncroniser avec la base de données local
ContactPreferences,ContactID,Int32,Lien à la table Contacts avec l'identifiant unique
ContactPreferences,TVType,TVTypeEnum (int),Type d'item pour l'arbre visuel
ContactPreferences,MarkerSize,Int32 (min=1) (max=1000),Taille du marqueur
ContactPreferences,LastUpdateDate_UTC,DateTime,Contient la date de la dernière mise à jour en (UTC)
ContactPreferences,LastUpdateContactTVItemID,Int32,Contact TVItemID qui a fait le dernier changement
ContactShortcuts,,,La table ContactShortcuts contient des champs permettant de gérer les raccourcis utilisateurs utilisés par certaines applications.
ContactShortcuts,ContactShortcutID,Int32 (key),Contient l'identifiant unique sur chaque ligne de la table ContactShortcuts
ContactShortcuts,DBCommand,DBCommandEnum (int),Identifie la command de base de données pour syncroniser avec la base de données local
ContactShortcuts,ContactID,Int32,Lien à la table Contacts avec l'identifiant unique
ContactShortcuts,ShortCutText,String (max=100),Texte de raccourci
ContactShortcuts,ShortCutAddress,String (max=200),Texte de l'address
ContactShortcuts,LastUpdateDate_UTC,DateTime,Contient la date de la dernière mise à jour en (UTC)
ContactShortcuts,LastUpdateContactTVItemID,Int32,Contact TVItemID qui a fait le dernier changement
DocTemplates,,,La table DocTemplates contient des champs pour contenir des modèles prédéfinis lors de la création de nombreux types de documents, tels que .xlsx, .docx, .csv, .txt, etc. Cette option d'exportation de données vers des documents est remplacée par des exportations de type paramètre. Cette table pourrait être supprimé à l'avenir.
DocTemplates,DocTemplateID,Int32 (key),Contient l'identifiant unique sur chaque ligne de la table DocTemplates
DocTemplates,DBCommand,DBCommandEnum (int),Identifie la command de base de données pour syncroniser avec la base de données local
DocTemplates,Language,LanguageEnum (int),Langage du document modèle
DocTemplates,TVType,TVTypeEnum (int),Type d'item pour l'arbre visuel
DocTemplates,TVFileTVItemID,Int32,Lien à la table TVFiles avec l'identifiant unique
DocTemplates,FileName,String (max=150),Nom de la filière du document modèle
DocTemplates,LastUpdateDate_UTC,DateTime,Contient la date de la dernière mise à jour en (UTC)
DocTemplates,LastUpdateContactTVItemID,Int32,Contact TVItemID qui a fait le dernier changement
DrogueRuns,,,La table DrogueRuns contient des champs pour afficher le suivi des drogues sur le Web. Il contient les noms, les numéros et la date des courses de drogue.
DrogueRuns,DrogueRunID,Int32 (key),Contient l'identifiant unique sur chaque ligne de la table DrogueRuns
DrogueRuns,DBCommand,DBCommandEnum (int),Identifie la command de base de données pour syncroniser avec la base de données local
DrogueRuns,SubsectorTVItemID,Int32,Lien à la table TVItems représentant le sous-secteur
DrogueRuns,DrogueNumber,Int32 (min=0) (max=100),Numéro de drogue
DrogueRuns,DrogueType,DrogueTypeEnum (int),Type de drogue
DrogueRuns,RunStartDateTime,DateTime,Date et temps de départ de la run drogue (local)
DrogueRuns,IsRisingTide,Boolean,Marée montante
DrogueRuns,LastUpdateDate_UTC,DateTime,Contient la date de la dernière mise à jour en (UTC)
DrogueRuns,LastUpdateContactTVItemID,Int32,Contact TVItemID qui a fait le dernier changement
DrogueRunPositions,,,La table DrogueRunPositions contient des champs pour afficher le suivi des drogues sur le Web. Il contient les coordonnées temporelles.
DrogueRunPositions,DrogueRunPositionID,Int32 (key),Contient l'identifiant unique sur chaque ligne de la table DrogueRunPositions
DrogueRunPositions,DBCommand,DBCommandEnum (int),Identifie la command de base de données pour syncroniser avec la base de données local
DrogueRunPositions,DrogueRunID,Int32,Lien à la table DrogueRuns représentant la drogue run (fr)
DrogueRunPositions,Ordinal,Int32 (min=0) (max=100000),Ordinal (fr)
DrogueRunPositions,StepLat,Double (min=-180) (max=180),Step Lat
DrogueRunPositions,StepLng,Double (min=-90) (max=90),Step Lng
DrogueRunPositions,StepDateTime_Local,DateTime,Step date and time (local) (fr)
DrogueRunPositions,CalculatedSpeed_m_s,Double (min=0) (max=10),Calculated speed (m/s) (fr)
DrogueRunPositions,CalculatedDirection_deg,Double (min=0) (max=360),Calculated direction (deg) (fr)
DrogueRunPositions,LastUpdateDate_UTC,DateTime,Contient la date de la dernière mise à jour en (UTC)
DrogueRunPositions,LastUpdateContactTVItemID,Int32,Contact TVItemID qui a fait le dernier changement
Emails,,,La table Emails contient des champs pour contenir des e-mails complets. Il est utilisé avec les contacts de la municipalité et les seconds e-mails des utilisateurs.
Emails,EmailID,Int32 (key),Contient l'identifiant unique sur chaque ligne de la table Emails
Emails,DBCommand,DBCommandEnum (int),Identifie la command de base de données pour syncroniser avec la base de données local
Emails,EmailTVItemID,Int32,Lien à la table TVItems représentant la courriel
Emails,EmailAddress,String (max=255),Adresse courriel
Emails,EmailType,EmailTypeEnum (int),Type de courriel
Emails,LastUpdateDate_UTC,DateTime,Contient la date de la dernière mise à jour en (UTC)
Emails,LastUpdateContactTVItemID,Int32,Contact TVItemID qui a fait le dernier changement
EmailDistributionLists,,,La table EmailDistributionLists contient des champs permettant d'identifier les listes de distribution d'e-mails.
EmailDistributionLists,EmailDistributionListID,Int32 (key),Contient l'identifiant unique sur chaque ligne de la table EmailDistributionLists
EmailDistributionLists,DBCommand,DBCommandEnum (int),Identifie la command de base de données pour syncroniser avec la base de données local
EmailDistributionLists,ParentTVItemID,Int32,Lien à la table TVItems représentant le TVItem du parent
EmailDistributionLists,Ordinal,Int32 (min=0) (max=1000),Ordre
EmailDistributionLists,LastUpdateDate_UTC,DateTime,Contient la date de la dernière mise à jour en (UTC)
EmailDistributionLists,LastUpdateContactTVItemID,Int32,Contact TVItemID qui a fait le dernier changement
EmailDistributionListContacts,,,La table EmailDistributionListContacts contient tous les noms de contacts pour une liste de distribution d'e-mails spécifiée.
EmailDistributionListContacts,EmailDistributionListContactID,Int32 (key),Contient l'identifiant unique sur chaque ligne de la table EmailDistributionListContacts
EmailDistributionListContacts,DBCommand,DBCommandEnum (int),Identifie la command de base de données pour syncroniser avec la base de données local
EmailDistributionListContacts,EmailDistributionListID,Int32,Lien à la table EmailDistributionList représentant la liste de distribution des courriels
EmailDistributionListContacts,IsCC,Boolean,Envoy courriel comme CC
EmailDistributionListContacts,Name,String (max=100),Nom du contact
