Table,Field,Type,Description
BoxModelLanguages,LastUpdateDate_UTC,DateTime,Contains the date of the last update in UTC
BoxModelLanguages,LastUpdateContactTVItemID,Int32,Contact TVItemID who made the last changes
BoxModelResults,,,The BoxModelResults contains fields for holding box modelling scenarios results.
BoxModelResults,BoxModelResultID,Int32 (key),Contains the unique identifier on each row of the BoxModelResults table
BoxModelResults,DBCommand,DBCommandEnum (int),Identify the database command for local database sync
BoxModelResults,BoxModelID,Int32,BoxModel link to parent BoxModels table item
BoxModelResults,BoxModelResultType,BoxModelResultTypeEnum (int),Result type
BoxModelResults,Volume_m3,Double (min=0),Volume (m3) of estuary water required to uptain the expected fecal coliform concentration
BoxModelResults,Surface_m2,Double (min=0),Surface (m2) of estuary water required to uptain the expected fecal coliform concentration
BoxModelResults,Radius_m,Double (min=0) (max=100000),Half circle radius (m) of estuary water required to uptain the expected fecal coliform concentration
BoxModelResults,LeftSideDiameterLineAngle_deg,Double (min=0) (max=360),Left side diameter line angle (deg) used to draw helf circle on a map
BoxModelResults,CircleCenterLatitude,Double (min=-90) (max=90),Circle center latitude (deg) used to draw half circle on a map
BoxModelResults,CircleCenterLongitude,Double (min=-180) (max=180),Circle center longitude (deg) used to draw half circle on a map
BoxModelResults,FixLength,Boolean,Fix length is used to indicate we want the rectangle length to be fix a certain length. Only the width of the rectangle will redimensioned in order to find the rectangle size  to uptain the expected fecal coliform concentration
BoxModelResults,FixWidth,Boolean,Fix width is used to indicate we want the rectangle width to be fix a certain width. Only the length of the rectangle will redimensioned in order to find the rectangle size  to uptain the expected fecal coliform concentration
BoxModelResults,RectLength_m,Double (min=0) (max=100000),Rectangle length (m) of estuary water required to uptain the expected fecal coliform concentration
BoxModelResults,RectWidth_m,Double (min=0) (max=100000),Rectangle width (m) of estuary water required to uptain the expected fecal coliform concentration
BoxModelResults,LeftSideLineAngle_deg,Double (min=0) (max=360),Left side rectangle line angle (deg) used to draw rectangle on a map
BoxModelResults,LeftSideLineStartLatitude,Double (min=-90) (max=90),Left side line start latitude (deg) used to draw half circle on a map
BoxModelResults,LeftSideLineStartLongitude,Double (min=-180) (max=180),Left side line start longitude (deg) used to draw half circle on a map
BoxModelResults,LastUpdateDate_UTC,DateTime,Contains the date of the last update in UTC
BoxModelResults,LastUpdateContactTVItemID,Int32,Contact TVItemID who made the last changes
Classifications,,,The Classifications table contains fields for holding classification for visualization on the web. It holds only a representation of the actual legal classification held in Arc GIS.
Classifications,ClassificationID,Int32 (key),Contains the unique identifier on each row of the Classification table
Classifications,DBCommand,DBCommandEnum (int),Identify the database command for local database sync
Classifications,ClassificationTVItemID,Int32,Link to the TVItems table with the unique identifier
Classifications,ClassificationType,ClassificationTypeEnum (int),Classification type
Classifications,Ordinal,Int32 (min=0) (max=10000),Ordinal number used to order the classification
Classifications,LastUpdateDate_UTC,DateTime,Contains the date of the last update in UTC
Classifications,LastUpdateContactTVItemID,Int32,Contact TVItemID who made the last changes
ClimateDataValues,,,The ClimateDataValues table contains fields for holding climate data values for various climate site from Meteorological Service of Canada.
ClimateDataValues,ClimateDataValueID,Int32 (key),Contains the unique identifier on each row of the ClimateDataValues table
ClimateDataValues,DBCommand,DBCommandEnum (int),Identify the database command for local database sync
ClimateDataValues,ClimateSiteID,Int32,ClimateSite link to parent ClimateSites table item
ClimateDataValues,DateTime_Local,DateTime,Date and time of observation. Almost all data is coming from the weather office web site.
ClimateDataValues,Keep,Boolean,Keep the data within the database. Sometime the database might get some data from the weather office web site as temporary data which can be removed at a later date
ClimateDataValues,StorageDataType,StorageDataTypeEnum (int),Storage data type can be archived, forcasted or observed
ClimateDataValues,HasBeenRead,Boolean,The stored data has been read from the weather office web site
ClimateDataValues,Snow_cm,Double (min=0) (max=10000),Total snow (cm) --- the total snowfall, or amount of frozen (solid) precipitation in centimetres (cm), such as snow and ice pellets, observed at the location during a specified time interval.
ClimateDataValues,Rainfall_mm,Double (min=0) (max=10000),Total Rain (mm) --- the total rainfall, or amount of all liquid precipitation in millimetres (mm) such as rain, drizzle, freezing rain, and hail, observed at the location during a specified time interval.
ClimateDataValues,RainfallEntered_mm,Double (min=0) (max=10000),Total Rain entered (mm) by one of the biologist --- the total rainfall, or amount of all liquid precipitation in millimetres (mm) such as rain, drizzle, freezing rain, and hail, observed at the location during a specified time interval.
ClimateDataValues,TotalPrecip_mm_cm,Double (min=0) (max=10000),Total precipitation (mm) --- the sum of the total rainfall and the water equivalent of the total snowfall in millimetres (mm), observed at the location during a specified time interval.
ClimateDataValues,MaxTemp_C,Double (min=-50) (max=50),Maximum temperature (deg C) --- the highest temperature in degrees Celsius (°C) observed at a location for a specified time interval.
ClimateDataValues,MinTemp_C,Double (min=-50) (max=50),Minimum temperature (deg C) --- the lowest temperature in degrees Celsius (°C) observed at a location for a specified time interval.
ClimateDataValues,HeatDegDays_C,Double (min=-1000) (max=100),Heating degree-days for a given day are the number of degrees Celsius that the mean temperature is below 18 °C. If the temperature is equal to or greater than 18 °C, then the number will be zero. For example, a day with a mean temperature of 15.5 °C has 2.5 heating degree-days; a day with a mean temperature of 20.5 °C has zero heating degree-days. Heating degree-days are used primarily to estimate the heating requirements of buildings.
ClimateDataValues,CoolDegDays_C,Double (min=-1000) (max=100),Cooling degree-days for a given day are the number of degrees Celsius that the mean temperature is above 18 Celcius. If the temperature is equal to or less than 18 Celcius, then the number will be zero. For example, a day with a mean temperature of 20.5 Celcius has 2.5 cooling degree-days; a day with a mean temperature of 15.5 Celcius has zero cooling degree-days. Cooling degree-days are used primarily to estimate the air-conditioning requirements of buildings.
ClimateDataValues,SnowOnGround_cm,Double (min=0) (max=10000),Snow on the ground (cm) --- the depth of snow in centimetres (cm) on the ground. The total depth of snow on the ground at the time of the observation is determined in whole centimetres by making a series of measurements and taking the average.
ClimateDataValues,DirMaxGust_0North,Double (min=0) (max=360),Direction of maximum gust (10's deg/tens of degrees) --- the direction of the maximum gust (true or geographic, not magnetic) from which the wind blows. Expressed in tens of degrees (10's deg), 9 means 90 degrees true or an east wind, and 36 means 360 degrees true or a wind blowing from the geographic north pole. This value is only reported if the maximum gust speed for the day exceeds 29 km/h.
ClimateDataValues,SpdMaxGust_kmh,Double (min=0) (max=300),Speed of maximum gust (km/h) --- the speed in kilometres per hour (km/h) of the maximum wind gust during the day. The gust is the maximum or peak instantaneous or single reading from the anemometer (the instrument used to observe wind speed) during the day. The duration of a gust typically corresponds to an elapsed time of 3 to 5 seconds.
ClimateDataValues,HourlyValues,String,Hourly values text stores all 24 hourly values of the parameters measured by the weather office
ClimateDataValues,LastUpdateDate_UTC,DateTime,Contains the date of the last update in UTC
ClimateDataValues,LastUpdateContactTVItemID,Int32,Contact TVItemID who made the last changes
ClimateSites,,,The ClimateSites table contains fields for holding climate site related information from Meteorological Service of Canada as well as some provincial climate sites.
ClimateSites,ClimateSiteID,Int32 (key),Contains the unique identifier on each row of the ClimateSites table
ClimateSites,DBCommand,DBCommandEnum (int),Identify the database command for local database sync
ClimateSites,ClimateSiteTVItemID,Int32,Link to the TVItems table with the unique identifier
ClimateSites,ECDBID,Int32 (min=1) (max=100000),ECDBID --- Environment Canada weather office web site unique id for the weather climate site
ClimateSites,ClimateSiteName,String (max=100),Climate site name is a unique name for the site given by Environment Canada
ClimateSites,Province,String (max=4),Province identified by two letters initiales
ClimateSites,Elevation_m,Double (min=0) (max=10000),Elevation (m) is the elevation above mean sea level
ClimateSites,ClimateID,String (max=10),Climate site ID is a unique ID for the climate site for Environment Canada
ClimateSites,WMOID,Int32 (min=1) (max=100000),WMOID is a unique ID for the climate site for World Meteorological Office
ClimateSites,TCID,String (max=3),TCID is the identifier assigned by Transport Canada to identify meteorological reports from airport observing sites transmitted in real time in aviation formats.
ClimateSites,IsQuebecSite,Boolean,Quebec Climate Site
ClimateSites,IsCoCoRaHS,Boolean,CoCoRaHS Climate Site
ClimateSites,TimeOffset_hour,Double (min=-10) (max=0),Time zone offset (hour)
ClimateSites,File_desc,String (max=50),File description --- temporary field used while uploading data from Environment Canda weather office web site
ClimateSites,HourlyStartDate_Local,DateTime,Hourly start date will contain null is the climate site does not have hourly data or the starting date of hourly data
ClimateSites,HourlyEndDate_Local,DateTime,Hourly end date will contain null is the climate site does not have hourly data or the end date of hourly data
ClimateSites,HourlyNow,Boolean,Hourly now indicates if there are hourly data at this date
ClimateSites,DailyStartDate_Local,DateTime,Daily start date will contain null is the climate site does not have daily data or the start date of hourly data
ClimateSites,DailyEndDate_Local,DateTime,Daily end date will contain null is the climate site does not have daily data or the end date of hourly data
ClimateSites,DailyNow,Boolean,Daily now indicates if there are daily data at this date
ClimateSites,MonthlyStartDate_Local,DateTime,Monthly start date will contain null is the climate site does not have monthly data or the start date of monthly data
ClimateSites,MonthlyEndDate_Local,DateTime,Monthly end date will contain null is the climate site does not have monthly data or the end date of monthly data
ClimateSites,MonthlyNow,Boolean,Monthly now indicates if there are monthly data at this date
ClimateSites,LastUpdateDate_UTC,DateTime,Contains the date of the last update in UTC
ClimateSites,LastUpdateContactTVItemID,Int32,Contact TVItemID who made the last changes
CoCoRaHSSites,,,The CoCoRaHSSites table contains fields for holding voluntary managed precipitation sites from private individuals.
CoCoRaHSSites,CoCoRaHSSiteID,Int32 (key),Contains the unique identifier on each row of the CoCoRaHSSites table
CoCoRaHSSites,DBCommand,DBCommandEnum (int),Identify the database command for local database sync
CoCoRaHSSites,StationNumber,String (max=100),Station number of the CoCoRaHS Site
CoCoRaHSSites,StationName,String (max=100),Station name of the CoCoRaHS Site
CoCoRaHSSites,Latitude,Double (min=-90) (max=90),Latitude
CoCoRaHSSites,Longitude,Double (min=-180) (max=180),Longitude
CoCoRaHSSites,LastUpdateDate_UTC,DateTime,Contains the date of the last update in UTC
CoCoRaHSSites,LastUpdateContactTVItemID,Int32,Contact TVItemID who made the last changes
CoCoRaHSValues,,,The CoCoRaHSValues table contains fields for holding precipitation values from voluntary private sites.
CoCoRaHSValues,CoCoRaHSValueID,Int32 (key),Contains the unique identifier on each row of the CoCoRaHSValues table
CoCoRaHSValues,DBCommand,DBCommandEnum (int),Identify the database command for local database sync
CoCoRaHSValues,CoCoRaHSSiteID,Int32,Link to the CoCoRaHSSites table representing the CoCoRaHSSites
CoCoRaHSValues,ObservationDateAndTime,DateTime,Observation date and time (local time)
CoCoRaHSValues,TotalPrecipAmt,Double (min=0) (max=10000),Total precipitation amount in mm
CoCoRaHSValues,NewSnowDepth,Double (min=0) (max=10000),New snow depth in cm
CoCoRaHSValues,NewSnowSWE,Double (min=0) (max=10000),New snow SWE in cm
CoCoRaHSValues,TotalSnowDepth,Double (min=0) (max=10000),Total snow depth in cm
CoCoRaHSValues,TotalSnowSWE,Double (min=0) (max=10000),Total snow SWE
CoCoRaHSValues,LastUpdateDate_UTC,DateTime,Contains the date of the last update in UTC
CoCoRaHSValues,LastUpdateContactTVItemID,Int32,Contact TVItemID who made the last changes
Contacts,,,The Contacts table contains fields for holding users information.
Contacts,ContactID,Int32 (key),Contains the unique identifier on each row of the Contacts table
Contacts,DBCommand,DBCommandEnum (int),Identify the database command for local database sync
Contacts,Id,String (max=450),Contains the unique identifier on each row of the AspNetUsers table
Contacts,ContactTVItemID,Int32,Link to the TVItems table with the unique identifier
Contacts,LoginEmail,String (min=6) (max=255),Login email for connecting to web site
Contacts,FirstName,String (max=100),First name
Contacts,LastName,String (max=100),Last name
Contacts,Initial,String (max=50),Initial
Contacts,CellNumber,String (max=50),Cell number
Contacts,CellNumberConfirmed,Boolean,Cell number confirmed
Contacts,WebName,String (max=100),Web name
Contacts,ContactTitle,ContactTitleEnum (int),Title
Contacts,IsAdmin,Boolean,Administrator
Contacts,EmailValidated,Boolean,Email validated
Contacts,Disabled,Boolean,Disabled
Contacts,IsNew,Boolean,Is new
Contacts,SamplingPlanner_ProvincesTVItemID,String (max=200),Sampling planner for provinces
Contacts,PasswordHash,String (max=255),Password hash
Contacts,Token,String (max=255),Javascript Web Token
Contacts,HasInternetConnection,Boolean,Has internet connection
Contacts,IsLoggedIn,Boolean,Is logged in
Contacts,GoogleMapKeyHash,String (max=255),Google map key hash
Contacts,AccessFailedCount,Int32 (min=0) (max=10),Access failed count
Contacts,LastUpdateDate_UTC,DateTime,Contains the date of the last update in UTC
Contacts,LastUpdateContactTVItemID,Int32,Contact TVItemID who made the last changes
ContactPreferences,,,The ContactPreferences table contains fields for maintaining users preferences while using some applications.
ContactPreferences,ContactPreferenceID,Int32 (key),Contains the unique identifier on each row of the ContactPreferences table
ContactPreferences,DBCommand,DBCommandEnum (int),Identify the database command for local database sync
ContactPreferences,ContactID,Int32,Link to the Contacts table with the unique identifier
ContactPreferences,TVType,TVTypeEnum (int),Tree view item type
ContactPreferences,MarkerSize,Int32 (min=1) (max=1000),Marker size
ContactPreferences,LastUpdateDate_UTC,DateTime,Contains the date of the last update in UTC
ContactPreferences,LastUpdateContactTVItemID,Int32,Contact TVItemID who made the last changes
ContactShortcuts,,,The ContactShortcuts table contains fields for maintaining users shortcuts used by some applications.
ContactShortcuts,ContactShortcutID,Int32 (key),Contains the unique identifier on each row of the ContactShortcuts table
ContactShortcuts,DBCommand,DBCommandEnum (int),Identify the database command for local database sync
ContactShortcuts,ContactID,Int32,Link to the Contacts table with the unique identifier
ContactShortcuts,ShortCutText,String (max=100),Shortcut text
ContactShortcuts,ShortCutAddress,String (max=200),Shortcut address
ContactShortcuts,LastUpdateDate_UTC,DateTime,Contains the date of the last update in UTC
ContactShortcuts,LastUpdateContactTVItemID,Int32,Contact TVItemID who made the last changes
DocTemplates,,,The DocTemplates table contains fields for holding preset templates while creating many type of documents, like .xlsx, .docx, .csv, .txt, etc. This option of exporting data to documents is being replaced by parameter type exports. This table could be removed in the future.
DocTemplates,DocTemplateID,Int32 (key),Contains the unique identifier on each row of the DocTemplates table
DocTemplates,DBCommand,DBCommandEnum (int),Identify the database command for local database sync
DocTemplates,Language,LanguageEnum (int),Document template language
DocTemplates,TVType,TVTypeEnum (int),Tree view item type
DocTemplates,TVFileTVItemID,Int32,Link to the TVFiles table with the unique identifier
DocTemplates,FileName,String (max=150),File name of the document template
DocTemplates,LastUpdateDate_UTC,DateTime,Contains the date of the last update in UTC
DocTemplates,LastUpdateContactTVItemID,Int32,Contact TVItemID who made the last changes
DrogueRuns,,,The DrogueRuns table contains fields for showing drogue tracking on the web. It holds the names, numbers and date of the drogue runs.
DrogueRuns,DrogueRunID,Int32 (key),Contains the unique identifier on each row of the DrogueRuns table
DrogueRuns,DBCommand,DBCommandEnum (int),Identify the database command for local database sync
DrogueRuns,SubsectorTVItemID,Int32,Link to the TVItems table representing the subsector
DrogueRuns,DrogueNumber,Int32 (min=0) (max=100),Drogue number
DrogueRuns,DrogueType,DrogueTypeEnum (int),Drogue type
DrogueRuns,RunStartDateTime,DateTime,Drogue run start date and time (local)
DrogueRuns,IsRisingTide,Boolean,Is rising tide
DrogueRuns,LastUpdateDate_UTC,DateTime,Contains the date of the last update in UTC
DrogueRuns,LastUpdateContactTVItemID,Int32,Contact TVItemID who made the last changes
DrogueRunPositions,,,The DrogueRunPositions table contains fields for showing drogue tracking on the web. It contains the temporal coordinates.
DrogueRunPositions,DrogueRunPositionID,Int32 (key),Contains the unique identifier on each row of the DrogueRunPositions table
DrogueRunPositions,DBCommand,DBCommandEnum (int),Identify the database command for local database sync
DrogueRunPositions,DrogueRunID,Int32,Link to the DrogueRuns table representing the drogue run
DrogueRunPositions,Ordinal,Int32 (min=0) (max=100000),Ordinal
DrogueRunPositions,StepLat,Double (min=-180) (max=180),Step Lat
DrogueRunPositions,StepLng,Double (min=-90) (max=90),Step Lng
DrogueRunPositions,StepDateTime_Local,DateTime,Step date and time (local)
DrogueRunPositions,CalculatedSpeed_m_s,Double (min=0) (max=10),Calculated speed (m/s)
DrogueRunPositions,CalculatedDirection_deg,Double (min=0) (max=360),Calculated direction (deg)
DrogueRunPositions,LastUpdateDate_UTC,DateTime,Contains the date of the last update in UTC
DrogueRunPositions,LastUpdateContactTVItemID,Int32,Contact TVItemID who made the last changes
Emails,,,The Emails table contains fields for holding complete emails. It is used with municipality contacts and second emails from users.
Emails,EmailID,Int32 (key),Contains the unique identifier on each row of the Emails table
Emails,DBCommand,DBCommandEnum (int),Identify the database command for local database sync
Emails,EmailTVItemID,Int32,Link to the TVItems table representing the email
Emails,EmailAddress,String (max=255),Email address
Emails,EmailType,EmailTypeEnum (int),Email type
Emails,LastUpdateDate_UTC,DateTime,Contains the date of the last update in UTC
Emails,LastUpdateContactTVItemID,Int32,Contact TVItemID who made the last changes
EmailDistributionLists,,,The EmailDistributionLists table contains fields for identifying email distribution lists.
EmailDistributionLists,EmailDistributionListID,Int32 (key),Contains the unique identifier on each row of the EmailDistributionLists table
EmailDistributionLists,DBCommand,DBCommandEnum (int),Identify the database command for local database sync
EmailDistributionLists,ParentTVItemID,Int32,Link to the TVItems table representing the parent TVItem
EmailDistributionLists,Ordinal,Int32 (min=0) (max=1000),Ordinal
EmailDistributionLists,LastUpdateDate_UTC,DateTime,Contains the date of the last update in UTC
EmailDistributionLists,LastUpdateContactTVItemID,Int32,Contact TVItemID who made the last changes
EmailDistributionListContacts,,,The EmailDistributionListContacts table contains all contacts names for a specified email distribution list.
EmailDistributionListContacts,EmailDistributionListContactID,Int32 (key),Contains the unique identifier on each row of the EmailDistributionListContacts table
EmailDistributionListContacts,DBCommand,DBCommandEnum (int),Identify the database command for local database sync
EmailDistributionListContacts,EmailDistributionListID,Int32,Link to the EmailDistributionList table representing the email distribution list
EmailDistributionListContacts,IsCC,Boolean,Send email as CC
EmailDistributionListContacts,Name,String (max=100),Name of the contact
EmailDistributionListContacts,Email,String (max=200),Email of the contact
EmailDistributionListContacts,CMPRainfallSeasonal,Boolean,CMP Rainfall Seasonal
EmailDistributionListContacts,CMPWastewater,Boolean,CMP Wastewater
EmailDistributionListContacts,EmergencyWeather,Boolean,Emergency Weather
EmailDistributionListContacts,EmergencyWastewater,Boolean,Emergency Wastewater
EmailDistributionListContacts,ReopeningAllTypes,Boolean,Reopening All Types
EmailDistributionListContacts,LastUpdateDate_UTC,DateTime,Contains the date of the last update in UTC
EmailDistributionListContacts,LastUpdateContactTVItemID,Int32,Contact TVItemID who made the last changes
EmailDistributionListContactLanguages,,,The EmailDistributionListContactLanguages table contains fields for holding bilingual texts from EmailDistributionListContacts table.
EmailDistributionListContactLanguages,EmailDistributionListContactLanguageID,Int32 (key),Contains the unique identifier on each row of the EmailDistributionListContactLanguages table
EmailDistributionListContactLanguages,DBCommand,DBCommandEnum (int),Identify the database command for local database sync
EmailDistributionListContactLanguages,EmailDistributionListContactID,Int32,Link to the EmailDistributionListContact table representing the email distribution list contact
EmailDistributionListContactLanguages,Language,LanguageEnum (int),Language of item
EmailDistributionListContactLanguages,Agency,String (min=1) (max=100),Agency
EmailDistributionListContactLanguages,TranslationStatus,TranslationStatusEnum (int),Translation status of the agency
EmailDistributionListContactLanguages,LastUpdateDate_UTC,DateTime,Contains the date of the last update in UTC
EmailDistributionListContactLanguages,LastUpdateContactTVItemID,Int32,Contact TVItemID who made the last changes
EmailDistributionListLanguages,,,The EmailDistributionListLanguages table contains fields for holding bilingual texts from EmailDistributionLists.
EmailDistributionListLanguages,EmailDistributionListLanguageID,Int32 (key),Contains the unique identifier on each row of the EmailDistributionListLanguages table
EmailDistributionListLanguages,DBCommand,DBCommandEnum (int),Identify the database command for local database sync
EmailDistributionListLanguages,EmailDistributionListID,Int32,Link to the EmailDistributionList table representing the email distribution list
EmailDistributionListLanguages,Language,LanguageEnum (int),Language of item
EmailDistributionListLanguages,EmailListName,String (min=1) (max=100),Email List Name
EmailDistributionListLanguages,TranslationStatus,TranslationStatusEnum (int),Translation status of the region name
EmailDistributionListLanguages,LastUpdateDate_UTC,DateTime,Contains the date of the last update in UTC
EmailDistributionListLanguages,LastUpdateContactTVItemID,Int32,Contact TVItemID who made the last changes
HelpDocs,,,The HelpDocs table contains fields for holding help information used in some applications. Especially the web.
HelpDocs,HelpDocID,Int32 (key),Contains the unique identifier on each row of the HelpDocs table
HelpDocs,DBCommand,DBCommandEnum (int),Identify the database command for local database sync
HelpDocs,DocKey,String (max=100),Help document key
HelpDocs,Language,LanguageEnum (int),Language of the help document
HelpDocs,DocHTMLText,String (max=100000),HTML text of help document
HelpDocs,LastUpdateDate_UTC,DateTime,Contains the date of the last update in UTC
HelpDocs,LastUpdateContactTVItemID,Int32,Contact TVItemID who made the last changes
HydrometricDataValues,,,The HydrometricDataValues table contains fields for holding hydrometric data values for various hydrometric site from Hydrometric Service of Canada.
HydrometricDataValues,HydrometricDataValueID,Int32 (key),Contains the unique identifier on each row of the HydrometricDataValues table
HydrometricDataValues,DBCommand,DBCommandEnum (int),Identify the database command for local database sync
HydrometricDataValues,HydrometricSiteID,Int32,HydrometricSite link to parent HydrometricSites table item
HydrometricDataValues,DateTime_Local,DateTime,Date and time of observation. Almost all data is coming from the water office web site.
HydrometricDataValues,Keep,Boolean,Keep the data within the database. Sometime the database might get some data from the water office web site as temporary data which can be removed at a later date
HydrometricDataValues,StorageDataType,StorageDataTypeEnum (int),Storage data type can be archived, forcasted or observed
HydrometricDataValues,HasBeenRead,Boolean,The stored data has been read from the weather office web site
HydrometricDataValues,Discharge_m3_s,Double (min=0) (max=100000),Discharges  in cubic meters per second
HydrometricDataValues,DischargeEntered_m3_s,Double (min=0) (max=100000),Discharges entered in cubic meters per second
HydrometricDataValues,Level_m,Double (min=0) (max=10000),Levels in meters
HydrometricDataValues,HourlyValues,String,String containing hourly values
HydrometricDataValues,LastUpdateDate_UTC,DateTime,Contains the date of the last update in UTC
HydrometricDataValues,LastUpdateContactTVItemID,Int32,Contact TVItemID who made the last changes
HydrometricSites,,,The HydrometricSites table contains fields for holding hydrometric site related information from Hydrometric Service of Canada as well as some provincial hydrometric sites.
HydrometricSites,HydrometricSiteID,Int32 (key),Contains the unique identifier on each row of the HydrometricSites table
HydrometricSites,DBCommand,DBCommandEnum (int),Identify the database command for local database sync
HydrometricSites,HydrometricSiteTVItemID,Int32,Link to the TVItems table with the unique identifier
